scale_GeV,coefficient
0.33,1.0
1,0.9910569609179256
2,0.9864042793171749
3,0.9837677412100463
4,0.9819217469784679
5,0.9805010669389921
6,0.9793464912791943
7,0.9783741848531331
8,0.9775345498147311
9,0.976795806330009
10,0.9761363679749525
11,0.9755409029594408
12,0.9749981306666934
13,0.9744995101189067
14,0.9740384194832897
15,0.9736096213341425
16,0.9732089020121868
17,0.9728328212358393
18,0.9724785338317311
19,0.9721436600222562
20,0.9718261892223261
21,0.9715244074645263
22,0.9712368418159381
23,0.9709622172363822
24,0.9706994226647115
25,0.9704474840721309
26,0.9702055428305156
27,0.9699728381857071
28,0.9697486929356829
29,0.9695325016359412
30,0.9693237208073768
31,0.969121860771569
32,0.9689264787777996
33,0.9687371731959803
34,0.9685535785805423
35,0.9683753614531356
36,0.9682022166821133
37,0.9680338643602737
38,0.9678700471008014
39,0.9677105276859576
40,0.9675550870147209
41,0.9674035223056219
42,0.9672556455154845
43,0.9671112819436832
44,0.9669702690036641
45,0.9668324551272351
46,0.9666976987915635
47,0.9665658676512162
48,0.9664368377619252
49,0.9663104928846922
50,0.9661867238604559
51,0.9660654280469128
52,0.9659465088102213
53,0.9658298750652975
54,0.9657154408592341
55,0.9656031249930778
56,0.9654928506778053
57,0.9653845452208549
58,0.9652781397400124
59,0.9651735689018395
60,0.9650707706821595
61,0.9649696861464075
62,0.9648702592479764
63,0.9647724366425862
64,0.9646761675171703
65,0.9645814034327497
66,0.9644880981787052
67,0.9643962076382405
68,0.964305689663842
69,0.9642165039618591
70,0.9641286119854164
71,0.964041976834944
72,0.9639565631656865
73,0.9638723371016118
74,0.9637892661551937
75,0.9637073191525966
76,0.9636264661638294
77,0.9635466784374791
78,0.9634679283396682
79,0.9633901892969123
80,0.963313435742582
81,0.9632376430667011
82,0.9631627875688334
83,0.9630888464138333
84,0.9630157975902548
85,0.962943619871228
86,0.9628722927776311
87,0.9628017965433963
88,0.9627321120828055
89,0.962663220959638
90,0.9625951053580473
91,0.9625277480550514
141,0.9611627841836614
191,0.9602167128197997
241,0.9594919219863655
291,0.9589042731882281
341,0.9584100338560526
391,0.9579835412073339
441,0.9576084419974711
491,0.9572736715686895
541,0.9569713937391034
591,0.9566958553771165
641,0.9564427078237135
691,0.9562085839432799
741,0.9559908232981035
791,0.9557872872505084
841,0.9555962308402204
891,0.9554162117216888
941,0.9552460239981622
991,0.955084649206081
1041,0.9549312193772126
1091,0.9547849887743993
1141,0.9546453119661168
1191,0.9545116266069027
1241,0.9543834397613499
1291,0.9542603169310839
1341,0.9541418731679528
1391,0.9540277658148507
1441,0.9539176885290569
1491,0.9538113663254377
1541,0.9537085514375488
1591,0.953609019839848
1641,0.953512568308213
1691,0.9534190119217719
1741,0.9533281819288558
1791,0.9532399239151808
1841,0.9531540962243129
1891,0.953070568589834
1941,0.9529892209460482
1991,0.9529099423899738
2041,0.952832630272098
2091,0.9527571893971909
2141,0.9526835313195704
2191,0.9526115737197295
2241,0.9525412398513092
2291,0.9524724580491019
2341,0.9524051612901739
2391,0.9523392868013755
2441,0.9522747757074703
2491,0.952211572714948
2541,0.9521496258272583
2591,0.9520888860877963
2641,0.9520293073474543
2691,0.9519708460539742
2741,0.9519134610606939
2791,0.9518571134525818
2841,0.9518017663877192
2891,0.9517473849526115
2941,0.9516939360299064
2991,0.951641388177264
3041,0.9515897115162678
3091,0.9515388776303966
3141,0.951488859471182
3191,0.9514396312717779
3241,0.9513911684672494
3291,0.9513434476209633
3341,0.9512964463565305
3391,0.951250143294802
3441,0.9512045179954773
3491,0.9511595509029249
3541,0.9511152232958554
3591,0.9510715172405232
3641,0.9510284155471642
3691,0.9509859017294046
3741,0.9509439599663998
3791,0.9509025750674884
3841,0.9508617324391614
3891,0.9508214180541665
3941,0.950781618422587
3991,0.9507423205647424
4041,0.9507035119857763
4091,0.9506651806518074
4141,0.9506273149675293
4191,0.9505899037551534
4241,0.950552936234602
4291,0.9505164020048615
4341,0.9504802910264156
4391,0.9504445936046849
4441,0.950409300374404
4491,0.9503744022848728
4541,0.9503398905860251
4591,0.9503057568152592
4641,0.950271992784982
4691,0.950238590570821
4741,0.9502055425004611
4791,0.9501728411430659
4841,0.9501404792992499
4891,0.9501084499915649
4941,0.9500767464554701
4991,0.9500453621307576
5041,0.9500142906534045
5091,0.9499835258478271
5141,0.9499530617195148
5191,0.949922892448019
5241,0.9498930123802787
5291,0.9498634160242633
5341,0.9498340980429136
5391,0.9498050532483661
5441,0.9497762765964427
5491,0.9497477631813938
5541,0.949719508230878
5591,0.9496915071011695
5641,0.9496637552725765
5691,0.9496362483450635
5741,0.9496089820340644
5791,0.9495819521664768
5841,0.9495551546768292
5891,0.9495285856036113
5941,0.9495022410857593
5991,0.949476117359288
6041,0.9494502107540641
6091,0.9494245176907115
6141,0.9493990346776426
6191,0.9493737583082122
6241,0.9493486852579833
6291,0.949323812282103
6341,0.9492991362127833
6391,0.9492746539568787
6441,0.9492503624935607
6491,0.9492262588720795
6541,0.949202340209614
6591,0.9491786036892026
6641,0.9491550465577514
6691,0.9491316661241189
6741,0.9491084597572704
6791,0.9490854248845015
6841,0.9490625589897265
6891,0.949039859611829
6941,0.9490173243430724
6991,0.948994950827567
7041,0.9489727367597922
7091,0.948950679883171
7141,0.948928777988694
7191,0.948907028913592
7241,0.9488854305400541
7291,0.9488639807939907
7341,0.9488426776438378
7391,0.9488215190994024
7441,0.9488005032107469
7491,0.9487796280671107
7541,0.9487588917958677
7591,0.9487382925615178
7641,0.9487178285647127
7691,0.948697498041312
7741,0.948677299261471
7791,0.9486572305287577
7841,0.9486372901792969
7891,0.9486174765809431
7941,0.948597788132479
7991,0.9485782232628382
8041,0.9485587804303539
