scale_GeV,coefficient
0.33,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
141,0.9991023938980889
191,0.9984802533075244
241,0.9980036277437743
291,0.9976171873712157
341,0.9972921734645007
391,0.9970117100676781
441,0.9967650432168903
491,0.9965448967456817
541,0.9963461175472018
591,0.9961649223374135
641,0.9959984514194785
691,0.9958444905505608
741,0.9957012902153993
791,0.9955674440366765
841,0.9954418045210246
891,0.9953234231758172
941,0.9952115069981734
991,0.9951053862420839
1041,0.9950044901279126
1091,0.994908328255703
1141,0.9948164761869137
1191,0.9947285641207543
1241,0.994644267900785
1291,0.9945633017990092
1341,0.9944854126718694
1391,0.9944103751865819
1441,0.9943379878908583
1491,0.9942680699532942
1541,0.9942004584416119
1591,0.9941350060356532
1641,0.9940715790943626
1691,0.9940100560129812
1741,0.9939503258196868
1791,0.9938922869709833
1841,0.9938358463129917
1891,0.9937809181819562
1941,0.9937274236221597
1991,0.9936752897033252
2041,0.9936244489226923
2091,0.9935748386794695
2141,0.9935264008113962
2191,0.9934790811848112
2241,0.9934328293309796
2291,0.9933875981225528
2341,0.9933433434849623
2391,0.993300024138315
2441,0.9932576013660029
2491,0.9932160388067761
2541,0.99317530226748
2591,0.9931353595540409
2641,0.9930961803186076
2691,0.9930577359210281
2741,0.9930199993030808
2791,0.9929829448740738
2841,0.9929465484066032
2891,0.9929107869414051
2941,0.9928756387003665
2991,0.9928410830068696
3041,0.9928071002127393
3091,0.9927736716311496
3141,0.9927407794749114
3191,0.9927084067996359
3241,0.9926765374513166
3291,0.992645156017923
3341,0.9926142477846454
3391,0.9925837986924637
3441,0.9925537952997485
3491,0.9925242247466326
3541,0.9924950747219157
3591,0.9924663334322896
3641,0.9924379895736919
3691,0.9924100323046121
3741,0.9923824512211951
3791,0.9923552363339967
3841,0.9923283780462626
3891,0.9923018671336116
3941,0.9922756947250165
3991,0.9922498522849836
4041,0.9922243315968419
4091,0.9921991247470593
4141,0.9921742241105124
4191,0.9921496223366396
4241,0.9921253123364154
4291,0.9921012872700887
4341,0.9920775405356305
4391,0.9920540657578436
4441,0.9920308567780893
4491,0.9920079076445887
4541,0.9919852126032602
4591,0.9919627660890609
4641,0.9919405627177943
4691,0.9919185972783592
4741,0.991896864725408
4791,0.9918753601723909
4841,0.991854078884961
4891,0.9918330162747186
4941,0.9918121678932726
4991,0.991791529426602
5041,0.991771096689698
5091,0.9917508656214703
5141,0.9917308322799031
5191,0.9917109928374441
5241,0.9916913435766166
5291,0.9916718808858372
5341,0.9916526012554333
5391,0.9916335012738433
5441,0.9916145776239941
5491,0.9915958270798436
5541,0.9915772465030799
5591,0.9915588328399686
5641,0.9915405831183413
5691,0.9915224944447156
5741,0.9915045640015424
5791,0.9914867890445717
5841,0.991469166900332
5891,0.9914516949637172
5941,0.991434370695675
5991,0.9914171916209926
6041,0.9914001553261748
6091,0.9913832594574081
6141,0.9913665017186101
6191,0.9913498798695557
6241,0.9913333917240811
6291,0.9913170351483571
6341,0.9913008080592327
6391,0.9912847084226424
6441,0.9912687342520758
6491,0.9912528836071077
6541,0.9912371545919825
6591,0.9912215453542539
6641,0.9912060540834757
6691,0.9911906790099417
6741,0.9911754184034722
6791,0.9911602705722458
6841,0.9911452338616735
6891,0.9911303066533147
6941,0.9911154873638316
6991,0.9911007744439809
7041,0.9910861663776425
7091,0.9910716616808813
7141,0.9910572589010438
7191,0.9910429566158832
7241,0.9910287534327181
7291,0.9910146479876184
7341,0.9910006389446189
7391,0.9909867249949599
7441,0.9909729048563544
7491,0.9909591772722777
7541,0.990945541011283
7591,0.9909319948663374
7641,0.990918537654182
7691,0.9909051682147104
7741,0.9908918854103693
7791,0.9908786881255777
7841,0.9908655752661639
7891,0.9908525457588224
7941,0.9908395985505857
7991,0.9908267326083138
8041,0.9908139469181998
8091,0.9908012404852904
8141,0.9907886123330214
8191,0.9907760615027669
8241,0.9907635870534032
8291,0.9907511880608847
8341,0.9907388636178339
8391,0.9907266128331421
8441,0.9907144348315835
