scale_GeV,coefficient
0.33,1.0
1,1.014053347128974
2,1.0213647039301537
3,1.0255078352413558
4,1.0284086833195505
5,1.030641180524441
6,1.0324555137041234
7,1.0339834238022194
8,1.0353028502911368
9,1.036463732909986
10,1.0374999931822175
11,1.0384357239208786
12,1.0392886518094817
13,1.0400721983845753
14,1.0407967693834017
15,1.0414705950463474
16,1.042100296837992
17,1.0426912809151099
18,1.0432480182644226
19,1.0437742485364545
20,1.044273131222059
21,1.0447473596986017
22,1.0451992485749544
23,1.0456308014856852
24,1.0460437643840248
25,1.0464396678866514
26,1.0468198612663326
27,1.047185539993889
28,1.0475377682439269
29,1.0478774974292353
30,1.048205581588408
31,1.0485227902161058
32,1.0488298190634577
33,1.0491272992634595
34,1.0494158050877194
35,1.0496958605736442
36,1.049967945213822
37,1.050232498862427
38,1.050489925984455
39,1.050740599350638
40,1.0509848632625813
41,1.05122303637688
42,1.0514554141899528
43,1.051682271231355
44,1.051903862994242
45,1.052120427657202
46,1.0523321876132572
47,1.0525393508338032
48,1.0527421120884033
49,1.052940654038341
50,1.0531351482192837
51,1.0533257559262799
52,1.0535126290125094
53,1.0536959106116752
54,1.053875735792632
55,1.054052232153735
56,1.0542255203634487
57,1.0543957146529424
58,1.0545629232656948
59,1.054727248868538
60,1.054888788928035
61,1.0550476360556453
62,1.0552038783246085
63,1.0553575995616504
64,1.0555088796158751
65,1.055657794605679
66,1.055804417147749
67,1.0559488165684792
68,1.0560910590996768
69,1.0562312080599356
70,1.056369324022917
71,1.0565054649736596
72,1.0566396864539211
73,1.0567720416974673
74,1.0569025817561242
75,1.0570313556173483
76,1.0571584103139824
77,1.0572837910268187
78,1.0574075411805213
79,1.0575297025334236
80,1.0576503152616568
81,1.057769418038041
82,1.0578870481061189
83,1.0580032413496905
84,1.058118032358171
85,1.0582314544880702
86,1.0583435399208654
87,1.05845431971752
88,1.0585638238698771
89,1.0586720813491404
90,1.0587791201516399
91,1.0588849673420622
141,1.0567734612635855
