9.42497e+3, 1.83644e-1
7.69314e+3, 1.63631e-1
5.76011e+3, 1.28219e-1
4.31122e+3, 1.11709e-1
3.23175e+3, 1.04440e-1
2.45701e+3, 8.88873e-2
1.86066e+3, 6.44686e-2
1.35239e+3, 4.78296e-2
1.02564e+3, 3.73620e-2
8.71008e+2, 3.54446e-2
7.21646e+2, 2.54335e-2
8.16554e+2, 1.81110e-2
9.73692e+2, 1.34315e-2
1.02518e+3, 7.63630e-3
1.24629e+3, 4.73465e-3
1.55271e+3, 2.51077e-3
1.72579e+3, 9.69583e-4
1.73252e+3, 3.11109e-4
1.63006e+3, 1.27435e-4
1.27219e+3, 5.20238e-5
9.99633e+2, 2.16231e-5
8.44411e+2, 1.21970e-5
6.28334e+2, 7.94325e-6
4.62789e+2, 5.16141e-6
3.46030e+2, 3.66898e-6
2.48511e+2, 2.14046e-6
1.82865e+2, 1.82914e-6
1.37182e+2, 1.51984e-6
1.00321e+2, 1.22101e-6
7.24149e+1, 1.04929e-6
3.79462e-3, 8.29696e-7
5.36457e+1, 8.15063e-7
3.90731e+1, 6.93394e-7
2.86105e+1, 5.58940e-7
2.04827e+1, 4.97344e-7
1.55303e+1, 4.15571e-7
3.86536e-3, 3.77204e-7
1.16950e+1, 3.48805e-7
8.43012e+0, 3.08976e-7
6.18775e+0, 2.59336e-7
4.65965e+0, 2.17671e-7
3.41528e+0, 1.91521e-7
2.19676e+0, 1.68513e-7
1.57505e+0, 1.59672e-7
3.87746e-3, 1.51419e-7
1.24565e+0, 1.51419e-7
8.94715e-1, 1.39362e-7
5.84707e-1, 1.23052e-7
2.83135e-1, 1.13254e-7
4.13406e-1, 1.13254e-7
1.79363e-1, 8.82970e-8
4.37319e-3, 6.74170e-8
1.10175e-1, 5.59433e-8
4.14759e-2, 4.36154e-8
6.65695e-2, 4.36154e-8
2.88659e-2, 4.01424e-8
5.42679e-3, 3.54446e-8
1.91777e-2, 2.88044e-8
6.81331e-3, 2.84649e-8
8.98717e-3, 2.55566e-8
1.17667e-2, 2.54335e-8
