1.24782e-3, 1.43227e-5
1.65316e-3, 1.86432e-5
2.19021e-3, 2.44189e-5
2.90180e-3, 3.21839e-5
3.84449e-3, 4.21544e-5
5.09381e-3, 5.64322e-5
6.74927e-3, 7.60185e-5
8.94273e-3, 1.02403e-4
1.18486e-2, 1.36234e-4
1.56981e-2, 1.79556e-4
2.07992e-2, 2.39624e-4
2.75570e-2, 3.16808e-4
3.65136e-2, 4.29435e-4
4.83798e-2, 5.76681e-4
6.41028e-2, 7.76833e-4
8.49349e-2, 1.04320e-3
1.12539e-1, 1.40965e-3
1.49112e-1, 1.89300e-3
1.97564e-1, 2.51841e-3
2.61792e-1, 3.47059e-3
3.46838e-1, 4.54153e-3
4.59513e-1, 5.94848e-3
6.08833e-1, 7.93846e-3
8.06622e-1, 1.03978e-2
1.06865e+0, 1.35484e-2
1.41578e+0, 1.76170e-2
1.87582e+0, 2.34374e-2
2.48531e+0, 3.10835e-2
3.29316e+0, 4.23974e-2
4.36295e+0, 5.53591e-2
5.78057e+0, 7.34194e-2
7.65921e+0, 9.89015e-2
1.01522e+1, 1.48622e-1
1.34483e+1, 1.86311e-1
1.78164e+1, 2.41005e-1
2.36041e+1, 3.14685e-1
3.12720e+1, 4.10891e-1
4.14294e+1, 5.31513e-1
5.48890e+1, 6.98350e-1
7.27221e+1, 9.20420e-1
9.63470e+1, 1.20556e+0
1.27651e+2, 1.59389e+0
1.69128e+2, 2.11387e+0
2.24074e+2, 2.77740e+0
2.96868e+2, 3.63783e+0
3.93231e+2, 4.49074e+0
5.20928e+2, 5.71919e+0
6.90226e+2, 7.70419e+0
9.02796e+2, 9.82929e+0
1.01641e-3, 1.18401e-5
